shop1_item1,shop1_item2,shop1_item3,shop1_item4,shop1_item5,shop2_item1,shop2_item2,shop2_item3,shop2_item4,shop2_item5,Holiday
1,1,1,1,1,3,2,1,1,1,0
1,1,1,2,1,1,1,1,1,1,0
1,1,3,2,1,1,2,1,1,1,0
1,1,1,2,1,3,3,5,3,3,0
1,1,3,1,8,5,1,3,8,2,0
1,1,8,2,4,3,1,3,1,6,0
1,1,2,9,8,1,14,9,3,12,0
1,1,20,20,4,8,20,9,17,4,0
1,1,2,7,35,21,7,9,16,10,0
1,1,1,1,9,11,13,2,2,1,0
1,1,5,24,2,4,2,1,2,4,0
1,1,1,7,27,27,10,8,7,5,0
1,1,4,2,1,2,3,3,5,3,0
1,1,1,4,4,4,1,2,1,1,0
1,1,1,9,1,3,5,1,1,1,0
1,1,1,1,3,3,2,4,2,6,0
1,1,6,3,10,14,1,7,1,1,0
1,1,29,4,6,4,11,11,2,3,0
1,1,4,3,3,1,3,4,3,5,0
1,1,6,13,7,12,1,4,12,5,0
1,1,5,1,3,1,1,1,2,1,0
1,1,1,1,3,1,5,4,2,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,2,7,2,2,1,1,1,0
1,1,1,3,3,1,2,1,1,1,0
1,1,2,1,2,2,1,2,1,1,0
1,1,2,2,1,1,1,1,1,1,0
1,1,1,1,3,4,15,2,3,1,0
1,1,2,1,1,1,2,1,1,2,0
1,1,1,1,3,1,2,1,2,2,0
1,1,1,2,1,1,5,2,1,1,0
1,1,2,1,5,3,6,18,4,5,0
1,1,1,4,17,2,4,8,5,1,0
1,1,3,3,6,6,6,1,1,2,0
1,1,2,2,3,2,8,10,22,2,0
1,1,8,7,4,2,3,2,3,2,0
1,1,2,2,2,19,37,10,51,9,0
1,1,4,4,4,8,4,7,5,2,0
1,1,1,1,4,1,3,4,2,4,0
1,1,5,16,8,3,13,5,4,1,0
1,1,2,8,2,4,7,3,5,6,0
1,1,14,11,5,3,2,5,2,4,0
1,1,2,4,5,1,11,2,2,1,0
1,1,1,2,5,3,9,1,5,1,0
1,1,3,1,5,3,1,1,4,2,0
1,1,1,1,1,1,9,1,2,3,0
1,1,1,2,19,1,1,1,1,1,0
1,1,1,1,3,1,4,1,2,13,0
